CL# Column name         Data type(length)  Null Default 
    ****  Top of data  ****                             
  1 PROCESS_ID          CHARACTER(3)            On type 
  2 MARSHA_CODE         CHARACTER(5)            On type 
  3 SFA_QUOTE_NUM       CHARACTER(15)           On type 
  4 SFA_QUOTE_NAME      CHARACTER(20)           On type 
  5 RE_START_DATE       DATE                    On value
  6 RE_END_DATE         DATE                    On value
  7 RE_CONTRACT_DATE    DATE                    On value
  8 TOTAL_ROOM_NIGHTS   CHARACTER(10)           On type 
  9 PROMOTION           CHARACTER(4)            On type 
 10 PAYMENT_TYPE        CHARACTER(2)            On type 
 11 EVENT_TYPE          CHARACTER(25)           On type 
 12 ORGANIZATION_TYPE   CHARACTER(25)           On type 
 13 ORGANIZATION_NAME   CHARACTER(20)           On type 
 14 INTERMEDIARY_NAME   CHARACTER(20)           On type
 15 ACT_ROOM_REV_USD    DECIMAL(11,2)           On type
 16 AVERAGE_RATE_USD    DECIMAL(9,2)            On type
 17 RENTAL_REV_USD      DECIMAL(11,2)           On type
 18 ACT_CATER_REV_USD   DECIMAL(11,2)           On type
 19 ACT_OTHER_REV_USD   DECIMAL(11,2)           On type
 20 TOTAL_ACT_REV_USD   DECIMAL(11,2)           On type
 21 LOCAL_CURR_CODE     CHARACTER(3)            On type
 22 ACT_ROOM_REV_LOC    CHARACTER(19)           On type
 23 AVERAGE_RATE_LOC    CHARACTER(19)           On type
 24 RENTAL_REV_LOC      CHARACTER(19)           On type
 25 ACT_CATER_REV_LOC   CHARACTER(19)           On type
 26 ACT_OTHER_REV_LOC   CHARACTER(19)           On type
 27 TOTAL_ACT_REV_LOC   CHARACTER(19)           On type
 28 SRW_LOAD_TS         TIMESTAMP(6)            On value
 29 SRW_UPDATE_TS       TIMESTAMP(6)            On value
 30 UPDATE_EID          CHARACTER(8)            On type 
 31 PROCESS_STATUS      CHARACTER(1)            On type 
 32 ACCOUNT_ID1         CHARACTER(9)            On type 
 33 PRIMARY_EMAIL1      CHARACTER(80)           On type 
 34 AIRLINE_PARTNER1    CHARACTER(2)            On type 
 35 FREQUENT_FLYER1     CHARACTER(20)           On type 
 36 ACCOUNT_ID2         CHARACTER(9)            On type 
 37 PRIMARY_EMAIL2      CHARACTER(80)           On type 
 38 AIRLINE_PARTNER2    CHARACTER(2)            On type 
 39 FREQUENT_FLYER2     CHARACTER(20)           On type 
 40 ACCOUNT_ID3         CHARACTER(9)            On type 
 41 PRIMARY_EMAIL3      CHARACTER(80)           On type 
 42 AIRLINE_PARTNER3    CHARACTER(2)            On type
 43 FREQUENT_FLYER3     CHARACTER(20)           On type
 44 ACCOUNT_ID4         CHARACTER(9)            On type
 45 PRIMARY_EMAIL4      CHARACTER(80)           On type
 46 AIRLINE_PARTNER4    CHARACTER(2)            On type
 47 FREQUENT_FLYER4     CHARACTER(20)           On type
 48 ACCOUNT_ID5         CHARACTER(9)            On type
 49 PRIMARY_EMAIL5      CHARACTER(80)           On type
 50 AIRLINE_PARTNER5    CHARACTER(2)            On type
 51 FREQUENT_FLYER5     CHARACTER(20)           On type
 52 INT_ACCOUNT_ID1     CHARACTER(9)            On type
 53 IATA_NUM1           CHARACTER(8)            On type
 54 INT_EMAIL1          CHARACTER(80)           On type
 55 INT_ACCOUNT_ID2     CHARACTER(9)            On type
 56 IATA_NUM2           CHARACTER(8)            On type
 57 INT_EMAIL2          CHARACTER(80)           On type
 58 INT_ACCOUNT_ID3     CHARACTER(9)            On type
 59 IATA_NUM3           CHARACTER(8)            On type
 60 INT_EMAIL3          CHARACTER(80)           On type
 61 INT_ACCOUNT_ID4     CHARACTER(9)            On type
 62 IATA_NUM4           CHARACTER(8)            On type
 63 INT_EMAIL4          CHARACTER(80)           On type
 64 INT_ACCOUNT_ID5     CHARACTER(9)            On type
 65 IATA_NUM5           CHARACTER(8)            On type
 66 INT_EMAIL5          CHARACTER(80)           On type
 67 GOV_EVENT_YN        CHARACTER(1)            On type
